date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
30/11/2021,AES,42,401816,467785,131511,
30/11/2021,AMD,1120,14276,54765,8227176,
30/11/2021,AMZN,1204,4924,28083,15762103,
30/11/2021,ATVI,32,102,1228,276355,
30/11/2021,BA,280,41573,45956,1468057,
30/11/2021,C,27,0,1,45781,
30/11/2021,CRM,784,818,3272,13477365,
30/11/2021,DAL,61,43,224,266425,
30/11/2021,DIS,566,669,6920,4026180,
30/11/2021,ES,505,281,2237,2323851,
30/11/2021,F,289,143,1066,2131099,
30/11/2021,FCX,85,7939,9788,93598,
30/11/2021,GOOG,203,1706,8852,989971,
30/11/2021,GOOGL,234,16949,69773,798726,
30/11/2021,GS,70,18,100,480111,
30/11/2021,JPM,73,51,213,648678,
30/11/2021,KO,90,167,740,779208,
30/11/2021,MA,105,246,1256,856991,
30/11/2021,META,864,3064,17228,10126561,
30/11/2021,MNST,27,121,325,278349,
30/11/2021,MSFT,814,18711,79366,5132293,
30/11/2021,MU,128,660,6549,385689,
30/11/2021,NFLX,245,3037,9770,1566879,
30/11/2021,NKE,105,593,3650,678342,
30/11/2021,NVDA,823,8577,43194,4466116,
30/11/2021,OXY,61,53895,20505,24667,
30/11/2021,PFE,876,1783,8110,5450305,
30/11/2021,PM,23,20,90,338702,
30/11/2021,REGN,171,565,1359,3315178,
30/11/2021,T,318,92,437,1819157,
30/11/2021,TSLA,5793,245501,2442792,22874291,
30/11/2021,V,71,306,2142,575261,
1/12/2021,AAL,160,48,577,960943,
1/12/2021,AAPL,5409,124761,593101,38137090,
1/12/2021,ABT,35,2,7,18118,
1/12/2021,AMD,594,13153,60154,4240710,
1/12/2021,AMZN,1467,35288,165648,11682438,
1/12/2021,ATVI,27,36,94,49516,
1/12/2021,BA,373,17884,22148,1365903,
1/12/2021,CRM,1077,883,4171,16487876,
1/12/2021,DAL,154,406,981,5667232,
1/12/2021,DIS,486,293,1869,4544537,
1/12/2021,ES,657,863,6942,1957580,
1/12/2021,F,432,308,2834,1536564,
1/12/2021,FCX,173,16548,20608,319764,
1/12/2021,GOOG,136,1099,2692,512312,
1/12/2021,GOOGL,386,67667,292054,2792711,
1/12/2021,GS,79,48,162,660261,
1/12/2021,JPM,101,157,651,594786,
1/12/2021,KEY,32,40,168,54998,
1/12/2021,MA,120,939,5125,531286,
1/12/2021,META,1112,15414,86868,7331427,
1/12/2021,MSFT,519,10033,45211,3540058,
1/12/2021,MU,261,187,1485,1715594,
1/12/2021,NFLX,284,34885,153469,2107990,
1/12/2021,NKE,110,995,9940,280910,
1/12/2021,NVDA,787,18011,82362,3426479,
1/12/2021,OXY,53,5,26,186693,
1/12/2021,PFE,654,1438,9588,4802126,
1/12/2021,T,352,712,1364,1245313,
1/12/2021,TSLA,6584,156194,1546991,22502492,
1/12/2021,V,180,659,3843,372395,
2/12/2021,AAL,128,30,230,1097329,
2/12/2021,AAPL,5085,33915,193425,56932580,
2/12/2021,ABT,41,4,4,91944,
2/12/2021,AMD,407,648,3441,1816747,
2/12/2021,AMZN,1128,9654,42064,10866932,
2/12/2021,ATVI,43,385,7383,339859,
2/12/2021,BA,1088,23512,30949,7998646,
2/12/2021,C,28,1,7,54398,
2/12/2021,CMG,31,42,96,44798,
2/12/2021,CRM,267,398,1807,1452164,
2/12/2021,DAL,141,175,718,1168666,
2/12/2021,DIS,471,2372,7575,3156556,
